task,arm,trial,verdict,read_lore,compliance_hits,violation_hits,cost_usd,input_tokens,output_tokens,cache_read,tool_calls,duration_ms,num_turns
web-landing,cold,1,pending,false,0,0,,88100,1527,60416,4,44326,1
web-landing,lore,1,pending,true,0,0,,271477,2636,239360,8,68985,1
news-draft,cold,1,pending,false,0,0,,70210,838,66560,3,27228,1
news-draft,lore,1,pending,true,0,0,,186713,1774,158976,6,52303,1
community-b2b,cold,1,pending,false,0,0,,70208,933,60416,3,30483,1
community-b2b,lore,1,pending,true,0,0,,194578,1751,170240,6,48090,1
founder-crm,cold,1,pending,false,0,0,,88453,1504,60416,4,42101,1
founder-crm,lore,1,pending,true,0,0,,608885,3514,559872,16,104720,1
web-landing,lore,2,pending,true,0,0,,376729,2831,343040,11,82531,1
web-landing,cold,2,pending,false,0,0,,52273,1424,43264,2,36231,1
news-draft,lore,2,pending,true,0,0,,146177,1532,122368,5,44256,1
news-draft,cold,2,pending,false,0,0,,52623,811,49408,2,29242,1
community-b2b,lore,2,pending,true,0,0,,239788,1841,205824,7,52226,1
community-b2b,cold,2,pending,false,0,0,,34848,691,26112,1,21289,1
founder-crm,lore,2,pending,true,0,0,,390225,3607,344320,10,92980,1
founder-crm,cold,2,pending,false,0,0,,70813,1494,66560,3,42470,1
